price,original_price,discount_percentage,has_discount,title_length,title_word_count,title_mentions_new,title_mentions_used,pictures_count,variations_count,shipping_free,is_popular,sales_ratio,condition_code
80.0,0.0,0.0,False,60,8,0,0,2,0,False,False,0.0,1
2650.0,0.0,0.0,False,57,9,0,0,6,0,False,False,0.0,0
60.0,0.0,0.0,False,43,7,0,0,1,0,False,False,0.0,0
580.0,0.0,0.0,False,52,7,0,0,2,0,False,False,0.0,1
30.0,0.0,0.0,False,25,4,0,0,2,0,False,False,0.0,0
310.0,0.0,0.0,False,41,6,0,0,1,0,False,False,0.0,1
180.0,0.0,0.0,False,44,9,0,0,5,1,False,False,0.0,0
150.0,0.0,0.0,False,52,9,0,0,5,0,False,False,0.0,0
2352.0,0.0,0.0,False,54,8,0,0,3,0,True,False,0.0,1
120.0,0.0,0.0,False,39,8,0,0,2,1,False,True,0.5,1
50.0,0.0,0.0,False,45,7,0,0,3,0,False,True,0.01,1
9500.0,0.0,0.0,False,56,10,1,0,4,0,False,True,0.5,1
69.0,0.0,0.0,False,37,8,0,0,1,0,False,True,0.5,0
450.0,0.0,0.0,False,16,2,0,0,3,1,False,False,0.0,1
155.0,0.0,0.0,False,60,11,0,0,1,0,False,False,0.0,1
100.0,0.0,0.0,False,35,5,0,0,5,0,False,True,0.8,1
30.0,0.0,0.0,False,29,5,0,0,3,0,False,False,0.0,0
6000.0,0.0,0.0,False,23,3,1,0,1,0,False,False,0.0,0
110.0,0.0,0.0,False,52,8,0,0,2,0,False,False,0.0,1
170.0,0.0,0.0,False,35,6,0,0,1,0,False,True,0.5,1
60.0,0.0,0.0,False,60,8,0,0,1,0,False,False,0.0,0
190.0,0.0,0.0,False,44,7,0,0,1,0,False,False,0.0,1
100000.0,0.0,0.0,False,27,6,0,0,6,0,False,False,0.0,1
480.0,0.0,0.0,False,55,8,0,0,2,0,False,False,0.0,0
950.0,0.0,0.0,False,37,6,0,0,2,0,False,False,0.0,1
140.0,0.0,0.0,False,59,12,0,0,1,0,False,False,0.0,0
55.0,0.0,0.0,False,54,7,0,0,2,0,False,False,0.0,0
75.0,0.0,0.0,False,30,6,0,0,1,0,False,False,0.0,0
100.0,0.0,0.0,False,38,4,0,0,1,0,False,False,0.0,0
590.0,0.0,0.0,False,52,8,0,0,5,3,False,True,0.3333333333333333,1
165.0,0.0,0.0,False,60,9,0,0,4,0,False,False,0.0,0
199.0,0.0,0.0,False,35,6,0,0,2,0,False,True,0.5,1
90.0,0.0,0.0,False,40,8,0,0,3,0,False,False,0.0,1
2550.0,0.0,0.0,False,53,10,0,0,0,0,False,False,0.0,1
650.0,0.0,0.0,False,34,9,0,0,6,0,False,False,0.0,1
100.0,0.0,0.0,False,29,5,0,0,4,0,False,False,0.0,0
428.0,0.0,0.0,False,58,8,0,0,3,0,False,True,0.9,1
130.0,0.0,0.0,False,55,11,0,0,1,0,False,False,0.0,0
40.0,0.0,0.0,False,39,6,0,0,1,0,False,False,0.0,0
2200.0,0.0,0.0,False,16,2,0,0,6,0,False,False,0.0,0
5000.0,0.0,0.0,False,30,5,0,0,0,0,False,False,0.0,0
40.0,0.0,0.0,False,33,6,0,0,1,0,False,False,0.0,0
3999.0,0.0,0.0,False,23,3,0,0,5,0,True,False,0.0,1
25.0,0.0,0.0,False,60,9,0,0,1,0,False,False,0.0,1
90.0,0.0,0.0,False,45,6,0,0,4,0,False,False,0.0,0
80.0,0.0,0.0,False,43,7,0,0,2,0,False,False,0.0,0
46.59,0.0,0.0,False,57,7,0,0,1,0,False,False,0.0,0
1320.0,0.0,0.0,False,59,10,0,0,1,0,False,False,0.0,1
69.0,0.0,0.0,False,27,4,0,0,4,0,False,True,0.9880952380952381,1
230.0,0.0,0.0,False,40,6,0,0,3,0,False,False,0.0,0
120.0,0.0,0.0,False,53,8,0,0,2,0,False,False,0.0,0
89.0,0.0,0.0,False,44,5,0,0,2,0,False,True,0.5,1
600.0,0.0,0.0,False,54,12,0,0,1,0,False,False,0.0,0
490.0,0.0,0.0,False,46,6,0,0,6,0,False,False,0.0,1
233000.0,0.0,0.0,False,56,10,1,0,7,0,False,False,0.0,0
483.0,0.0,0.0,False,60,10,0,0,5,0,False,True,0.75,1
170.0,0.0,0.0,False,41,5,0,0,1,0,False,False,0.0,1
300.0,0.0,0.0,False,36,6,0,0,1,0,False,False,0.0,0
402.27,0.0,0.0,False,25,5,0,0,1,0,True,False,0.0,1
7200.0,0.0,0.0,False,40,7,0,0,10,0,False,False,0.0,1
99.9,0.0,0.0,False,38,6,0,0,2,0,False,False,0.0,0
30.0,0.0,0.0,False,48,7,0,0,1,0,False,False,0.0,1
200.0,0.0,0.0,False,31,6,1,0,2,0,False,False,0.0,1
120.0,0.0,0.0,False,58,8,0,0,1,0,False,False,0.0,0
400.0,0.0,0.0,False,27,4,0,0,2,0,False,False,0.0,0
870.0,0.0,0.0,False,55,8,0,0,3,0,True,True,0.11333333333333333,1
650.0,0.0,0.0,False,60,9,0,0,1,0,False,True,0.5,0
500.0,0.0,0.0,False,32,5,0,0,3,0,False,False,0.0,0
19900.0,0.0,0.0,False,49,8,0,0,2,0,False,False,0.0,1
17.0,0.0,0.0,False,41,8,0,0,3,0,False,False,0.0,1
189.0,0.0,0.0,False,58,7,0,0,3,0,False,True,0.6666666666666666,1
70.0,0.0,0.0,False,45,12,0,0,1,0,False,True,0.3333333333333333,1
2164.9,0.0,0.0,False,15,2,0,0,6,0,False,False,0.0,1
100.0,0.0,0.0,False,56,9,0,0,2,0,False,False,0.0,0
140.0,0.0,0.0,False,16,2,0,0,1,0,False,False,0.0,1
1650.0,0.0,0.0,False,26,5,0,0,3,1,False,False,0.0,0
50.0,0.0,0.0,False,38,6,0,0,2,0,False,False,0.0,0
60.0,0.0,0.0,False,49,9,0,0,5,0,False,False,0.0,0
60.0,0.0,0.0,False,56,8,0,0,1,0,False,False,0.0,0
270.0,0.0,0.0,False,59,11,0,0,3,0,False,False,0.0,1
29.9,0.0,0.0,False,31,5,0,0,3,0,False,False,0.0,1
4700.0,0.0,0.0,False,60,9,0,0,4,0,False,False,0.0,0
230.0,0.0,0.0,False,55,9,0,0,5,0,False,False,0.0,0
90.0,0.0,0.0,False,59,10,0,0,2,0,False,False,0.0,0
690.0,0.0,0.0,False,58,5,0,0,6,0,False,False,0.0,0
35.0,0.0,0.0,False,46,5,0,0,6,0,False,False,0.0,1
200.0,0.0,0.0,False,59,10,0,0,1,0,False,False,0.0,1
90.0,0.0,0.0,False,59,11,0,0,1,0,False,False,0.0,0
29.99,0.0,0.0,False,59,10,0,0,1,0,False,False,0.0,1
50.0,0.0,0.0,False,56,9,0,0,2,0,False,False,0.0,1
610.0,0.0,0.0,False,60,12,0,0,5,0,False,True,0.8235294117647058,1
160.0,0.0,0.0,False,55,10,0,0,3,0,False,False,0.0,0
10199.0,0.0,0.0,False,60,11,0,0,2,0,False,True,0.027805362462760674,1
50.0,0.0,0.0,False,43,6,0,0,1,0,False,False,0.0,0
150.0,0.0,0.0,False,58,10,0,0,1,0,False,False,0.0,1
2499.0,0.0,0.0,False,60,6,0,0,4,0,False,False,0.0,1
5239.0,0.0,0.0,False,54,9,1,0,1,0,False,False,0.0,1
3968.72,0.0,0.0,False,58,10,1,0,2,0,False,False,0.0,1
600.0,0.0,0.0,False,31,7,0,0,4,0,False,False,0.0,0
50.0,0.0,0.0,False,60,12,0,0,3,0,False,False,0.0,0
715.0,0.0,0.0,False,48,8,0,0,6,0,False,False,0.0,1
2635.0,0.0,0.0,False,59,13,0,0,3,0,False,False,0.0,1
35.0,0.0,0.0,False,58,13,0,0,1,0,False,False,0.0,1
3600.0,0.0,0.0,False,33,7,0,0,4,0,False,False,0.0,0
589.0,0.0,0.0,False,48,10,0,0,4,0,False,False,0.0,1
50.0,0.0,0.0,False,31,6,0,0,1,0,False,False,0.0,0
200.0,0.0,0.0,False,36,5,0,0,2,1,False,False,0.0,1
670.0,0.0,0.0,False,42,6,0,0,3,0,False,False,0.0,1
119.99,0.0,0.0,False,58,7,0,0,5,0,False,True,0.8333333333333334,1
231.0,0.0,0.0,False,51,7,0,0,6,0,False,True,0.004008016032064128,1
850.0,0.0,0.0,False,59,10,0,0,2,0,False,False,0.0,1
990.0,0.0,0.0,False,28,4,0,0,2,0,False,True,0.6666666666666666,1
11700.0,0.0,0.0,False,23,4,0,0,1,0,False,False,0.0,0
80.0,0.0,0.0,False,46,8,1,0,3,0,False,False,0.0,1
32.99,0.0,0.0,False,36,6,0,0,3,0,False,False,0.0,1
180.0,0.0,0.0,False,48,9,0,0,4,0,False,True,0.375,1
150.0,0.0,0.0,False,60,9,0,0,5,0,False,False,0.0,1
21000.0,0.0,0.0,False,33,5,0,0,4,0,False,False,0.0,0
49.0,0.0,0.0,False,56,10,0,0,1,0,False,False,0.0,0
1050.0,0.0,0.0,False,50,8,1,0,6,0,False,False,0.0,0
90.0,0.0,0.0,False,52,11,0,0,6,0,False,False,0.0,0
999.99,0.0,0.0,False,42,7,0,0,4,1,False,True,0.3333333333333333,1
89.0,0.0,0.0,False,40,5,0,0,3,0,False,False,0.0,1
114.0,0.0,0.0,False,40,7,0,0,1,0,False,False,0.0,1
500.0,0.0,0.0,False,19,2,0,0,2,0,False,False,0.0,1
2399.99,0.0,0.0,False,59,8,0,0,4,0,False,True,0.7391304347826086,1
31.0,0.0,0.0,False,48,7,0,0,6,0,False,False,0.0,1
2520.0,0.0,0.0,False,54,8,0,0,5,0,False,True,0.9583333333333334,1
705.0,0.0,0.0,False,53,8,0,0,6,4,True,False,0.0,1
300.0,0.0,0.0,False,54,8,0,0,5,0,False,False,0.0,1
159.99,0.0,0.0,False,59,9,0,0,5,0,False,True,0.9522058823529411,1
200.0,0.0,0.0,False,58,10,0,0,3,0,False,True,0.5,1
1750.0,0.0,0.0,False,30,3,0,0,6,0,False,False,0.0,1
300.0,0.0,0.0,False,60,10,0,0,2,0,False,True,0.5,0
10000.0,0.0,0.0,False,11,1,0,0,4,0,False,False,0.0,0
50.0,0.0,0.0,False,12,3,0,0,2,0,False,False,0.0,0
99.0,0.0,0.0,False,24,5,0,0,4,0,False,False,0.0,0
90.0,0.0,0.0,False,57,7,0,0,1,0,False,False,0.0,0
9000.96,0.0,0.0,False,41,7,0,0,1,0,False,False,0.0,1
72.0,0.0,0.0,False,36,5,0,0,1,0,False,True,0.46,1
290.0,0.0,0.0,False,16,2,0,0,4,0,False,False,0.0,0
3950.0,0.0,0.0,False,59,11,1,0,6,0,False,True,0.875,1
199.99,0.0,0.0,False,59,10,0,0,5,0,True,True,0.391304347826087,1
250.0,0.0,0.0,False,53,8,0,0,1,0,False,False,0.0,0
35.0,0.0,0.0,False,27,4,0,0,2,0,False,False,0.0,1
1750.0,0.0,0.0,False,60,11,0,0,6,0,False,True,0.8333333333333334,1
30.0,0.0,0.0,False,51,8,0,0,1,0,False,False,0.0,0
290.0,0.0,0.0,False,42,7,0,0,3,0,False,False,0.0,1
1880.0,0.0,0.0,False,54,9,0,0,2,0,False,True,0.8571428571428571,1
120.0,0.0,0.0,False,31,4,0,0,5,0,False,False,0.0,0
3844.0,0.0,0.0,False,55,9,0,0,3,0,True,False,0.0,1
385000.0,0.0,0.0,False,28,5,0,0,10,0,False,False,0.0,0
3890.0,0.0,0.0,False,26,5,0,0,3,0,False,False,0.0,1
50.0,0.0,0.0,False,34,6,0,0,2,0,False,False,0.0,0
50.0,0.0,0.0,False,57,9,0,0,4,0,False,False,0.0,1
600.0,0.0,0.0,False,53,10,0,0,3,0,False,False,0.0,0
80.0,0.0,0.0,False,49,11,0,0,1,0,False,False,0.0,1
219.0,0.0,0.0,False,48,9,0,0,4,0,False,False,0.0,0
